Month	Date	Year	sampleDir
Feb	13	2015	150213_SRR1198274
Feb	13	2015	150213_SRR1198268
Feb	13	2015	150213_SRR1198279
Feb	13	2015	150213_SRR1198244
Feb	13	2015	150213_SRR1202946
Feb	13	2015	150213_SRR1198242
Feb	13	2015	150213_SRR1198249
Feb	13	2015	150213_SRR1202950
Feb	13	2015	150213_SRR1198278
Feb	13	2015	150213_SRR1210949
Feb	13	2015	150213_SRR1202962
Feb	13	2015	150213_SRR1198266
Feb	13	2015	150213_SRR1202963
Feb	13	2015	150213_SRR1202958
Feb	13	2015	150213_SRR1198263
Feb	13	2015	150213_SRR1202970
Feb	13	2015	150213_SRR1202932
Feb	13	2015	150213_SRR1210938
Feb	13	2015	150213_SRR1202959
Feb	13	2015	150213_SRR1210971
Feb	13	2015	150213_SRR1210939
Feb	13	2015	150213_SRR1210950
Feb	13	2015	150213_SRR1210951
Feb	13	2015	150213_SRR1202961
Feb	13	2015	150213_SRR1210947
Feb	13	2015	150213_SRR1210974
Feb	13	2015	150213_SRR1210959
Feb	13	2015	150213_SRR1210952
Feb	13	2015	150213_SRR1210955
Feb	13	2015	150213_SRR1210961
Feb	13	2015	150213_SRR1210979
Feb	13	2015	150213_SRR1210975
Feb	13	2015	150213_SRR1210978
Feb	13	2015	150213_SRR1210969
Feb	13	2015	150213_SRR1210973
Feb	13	2015	150213_SRR1210946
Feb	13	2015	150213_SRR1210962
Feb	14	2015	150214_SRR1230933
Feb	14	2015	150214_SRR1211002
Feb	14	2015	150214_SRR1260639
Feb	14	2015	150214_SRR1211004
Feb	14	2015	150214_SRR1210991
Feb	14	2015	150214_SRR1230930
Feb	14	2015	150214_SRR1260608
Feb	14	2015	150214_SRR1260640
Feb	14	2015	150214_SRR1230934
Feb	14	2015	150214_SRR1260627
Feb	14	2015	150214_SRR1260628
Feb	14	2015	150214_SRR1210985
Feb	14	2015	150214_SRR1260648
Feb	14	2015	150214_SRR1260630
Feb	14	2015	150214_SRR1210995
Feb	14	2015	150214_SRR1211006
Feb	14	2015	150214_SRR1211007
Feb	14	2015	150214_SRR1222982
Feb	14	2015	150214_SRR1260632
Feb	14	2015	150214_SRR1260653
Feb	14	2015	150214_SRR1211001
Feb	14	2015	150214_SRR1211003
Feb	14	2015	150214_SRR1210982
Feb	14	2015	150214_SRR1210988
Feb	14	2015	150214_SRR1210989
Feb	14	2015	150214_SRR1260645
Feb	14	2015	150214_SRR1211000
Feb	14	2015	150214_SRR1260713
Feb	14	2015	150214_SRR1260656
Feb	14	2015	150214_SRR1230932
Feb	14	2015	150214_SRR1260664
Feb	14	2015	150214_SRR1260660
Feb	14	2015	150214_SRR1260698
Feb	14	2015	150214_SRR1262863
Feb	14	2015	150214_SRR1262612
Feb	14	2015	150214_SRR1262856
Feb	14	2015	150214_SRR1260658
Feb	14	2015	150214_SRR1262859
Feb	14	2015	150214_SRR1260693
Feb	14	2015	150214_SRR1260727
Feb	14	2015	150214_SRR1210998
Feb	14	2015	150214_SRR1260672
Feb	14	2015	150214_SRR1262869
Feb	14	2015	150214_SRR1262848
Feb	14	2015	150214_SRR1262850
Feb	14	2015	150214_SRR1210981
Feb	14	2015	150214_SRR1260711
Feb	14	2015	150214_SRR1260679
Feb	14	2015	150214_SRR1262874
Feb	14	2015	150214_SRR1262868
Feb	15	2015	150214_SRR1262879
Feb	15	2015	150214_SRR1262881
Feb	15	2015	150214_SRR1262897
Feb	15	2015	150214_SRR1262902
Feb	15	2015	150214_SRR1262855
Feb	15	2015	150214_SRR1262876
Feb	15	2015	150214_SRR1262603
Feb	15	2015	150214_SRR1262877
Feb	15	2015	150214_SRR1262918
Feb	15	2015	150214_SRR1262919
Feb	15	2015	150214_SRR1262905
Feb	15	2015	150214_SRR1262870
Feb	15	2015	150214_SRR1262907
Feb	15	2015	150214_SRR1264704
Feb	15	2015	150214_SRR1262925
Feb	15	2015	150214_SRR1262920
Feb	15	2015	150214_SRR1262912
Feb	15	2015	150214_SRR1262851
Feb	15	2015	150214_SRR1262886
Feb	15	2015	150214_SRR1262895
Feb	15	2015	150214_SRR1262937
Feb	15	2015	150214_SRR1262917
Feb	15	2015	150214_SRR1264703
Feb	15	2015	150214_SRR1262936
Feb	15	2015	150214_SRR1264707
Feb	15	2015	150214_SRR1262927
Feb	15	2015	150214_SRR1262893
Feb	15	2015	150214_SRR1262911
Feb	15	2015	150214_SRR1264706
Feb	15	2015	150214_SRR1262921
Feb	15	2015	150214_SRR1262901
Feb	15	2015	150214_SRR1262891
Feb	15	2015	150214_SRR1262896
Feb	15	2015	150214_SRR1262933
Feb	15	2015	150214_SRR1264708
Feb	15	2015	150214_SRR1262926
Feb	15	2015	150214_SRR1264705
Feb	15	2015	150214_SRR1264718
Feb	15	2015	150214_SRR1264709
Feb	15	2015	150214_SRR1264729
Feb	15	2015	150214_SRR1264728
Feb	15	2015	150214_SRR1264712
Feb	15	2015	150214_SRR1264730
Feb	15	2015	150214_SRR1264725
Feb	15	2015	150214_SRR1264727
Feb	15	2015	150214_SRR1264714
Feb	15	2015	150214_SRR1264739
Feb	15	2015	150214_SRR1264732
Feb	15	2015	150214_SRR1264743
Feb	15	2015	150214_SRR1264715
Feb	16	2015	150216_SRR1264748
Feb	16	2015	150216_SRR1267630
Feb	16	2015	150216_SRR1267631
Feb	16	2015	150216_SRR1264753
